_id,date,center_name,attendance_count
49151066,2025-08-23,Ormsby Community Center,5
49151067,2025-08-23,Phillips Community Center,5
49151068,2025-08-23,Warrington Community Center,5
49151069,2025-08-23,Magee Community Center,9
49151070,2025-08-23,West Penn Community Center,70
49151071,2025-08-22,Brookline Community Center,22
49151072,2025-08-22,Ormsby Community Center,12
49151073,2025-08-22,Phillips Community Center,18
49151074,2025-08-22,Paulson Community Center,16
49151075,2025-08-22,Warrington Community Center,15
49151076,2025-08-22,Magee Community Center,13
49151077,2025-08-22,West Penn Community Center,76
49151078,2025-08-21,Arlington Community Center,1
49151079,2025-08-21,Brookline Community Center,42
49151080,2025-08-21,Ormsby Community Center,11
49151081,2025-08-21,Paulson Community Center,16
49151082,2025-08-21,Phillips Community Center,15
49151083,2025-08-21,Warrington Community Center,15
49151084,2025-08-21,Magee Community Center,19
49151085,2025-08-21,West Penn Community Center,90
49151086,2025-08-20,Brookline Community Center,25
49151087,2025-08-20,Ormsby Community Center,18
49151088,2025-08-20,Phillips Community Center,25
49151089,2025-08-20,Paulson Community Center,8
49151090,2025-08-20,Warrington Community Center,25
49151091,2025-08-20,Magee Community Center,16
49151092,2025-08-20,West Penn Community Center,98
49151093,2025-08-19,Brookline Community Center,46
49151094,2025-08-19,Ormsby Community Center,17
49151095,2025-08-19,Paulson Community Center,10
49151096,2025-08-19,Phillips Community Center,37
49151097,2025-08-19,Warrington Community Center,17
49151098,2025-08-19,Magee Community Center,22
49151099,2025-08-19,Jefferson Community Center,11
49151100,2025-08-19,West Penn Community Center,93
49151101,2025-08-18,Brookline Community Center,26
49151102,2025-08-18,Ormsby Community Center,8
49151103,2025-08-18,Phillips Community Center,20
49151104,2025-08-18,Paulson Community Center,11
49151105,2025-08-18,Warrington Community Center,35
49151106,2025-08-18,Magee Community Center,28
49151107,2025-08-18,West Penn Community Center,66
49151108,2025-08-16,Ormsby Community Center,5
49151109,2025-08-16,Paulson Community Center,8
49151110,2025-08-16,Phillips Community Center,6
49151111,2025-08-16,Warrington Community Center,6
49151112,2025-08-16,Magee Community Center,4
49151113,2025-08-16,West Penn Community Center,95
49151114,2025-08-15,Brookline Community Center,24
49151115,2025-08-15,Ormsby Community Center,8
49151116,2025-08-15,Phillips Community Center,18
49151117,2025-08-15,Paulson Community Center,3
49151118,2025-08-15,Warrington Community Center,24
49151119,2025-08-15,Magee Community Center,19
49151120,2025-08-15,West Penn Community Center,37
49151121,2025-08-14,Brookline Community Center,32
49151122,2025-08-14,Ormsby Community Center,15
49151123,2025-08-14,Paulson Community Center,8
49151124,2025-08-14,Phillips Community Center,9
49151125,2025-08-14,Warrington Community Center,35
